trial,replications,lsd,trait
MVN_1996_Moorhead_Rainfed,1,,DiastaticPower
MVN_1996_Moorhead_Rainfed,1,,WortColor
MVN_1996_Moorhead_Rainfed,1,,WortClarity
MVN_1996_Moorhead_Rainfed,1,,GrainProtein
MVN_1996_Moorhead_Rainfed,1,,WortProtein
MVN_1996_Moorhead_Rainfed,1,,BetaGlucan
MVN_1996_Moscow_Rainfed,1,,KernelWeight
MVN_1996_Moscow_Rainfed,1,,PlumpGrain
MVN_1996_Moscow_Rainfed,1,,BarleyColor
MVN_1996_Moscow_Rainfed,1,,MaltExtract
MVN_1996_Moscow_Rainfed,1,,SolubleProteinTotalProtein
MVN_1996_Moscow_Rainfed,1,,DiastaticPower
MVN_1996_Moscow_Rainfed,1,,WortColor
MVN_1996_Moscow_Rainfed,1,,WortClarity
MVN_1996_Moscow_Rainfed,1,,GrainProtein
MVN_1996_Moscow_Rainfed,1,,WortProtein
MVN_1996_Moscow_Rainfed,1,,BetaGlucan
MVN_1997_Aberdeen_Rainfed,1,,KernelWeight
MVN_1997_Aberdeen_Rainfed,1,,PlumpGrain
MVN_1997_Aberdeen_Rainfed,1,,BarleyColor
MVN_1997_Aberdeen_Rainfed,1,,MaltExtract
MVN_1997_Aberdeen_Rainfed,1,,SolubleProteinTotalProtein
MVN_1997_Aberdeen_Rainfed,1,,DiastaticPower
MVN_1997_Aberdeen_Rainfed,1,,WortColor
MVN_1997_Aberdeen_Rainfed,1,,WortClarity
MVN_1997_Aberdeen_Rainfed,1,,GrainProtein
MVN_1997_Aberdeen_Rainfed,1,,WortProtein
MVN_1997_Aberdeen_Rainfed,1,,BetaGlucan
MVN_1997_Bottineau_Rainfed,1,,KernelWeight
MVN_1997_Bottineau_Rainfed,1,,PlumpGrain
MVN_1997_Bottineau_Rainfed,1,,BarleyColor
MVN_1997_Bottineau_Rainfed,1,,MaltExtract
MVN_1997_Bottineau_Rainfed,1,,SolubleProteinTotalProtein
MVN_1997_Bottineau_Rainfed,1,,DiastaticPower
MVN_1997_Bottineau_Rainfed,1,,WortColor
MVN_1997_Bottineau_Rainfed,1,,WortClarity
MVN_1997_Bottineau_Rainfed,1,,GrainProtein
MVN_1997_Bottineau_Rainfed,1,,WortProtein
MVN_1997_Bottineau_Rainfed,1,,BetaGlucan
MVN_1997_Crookston_Rainfed,1,,KernelWeight
MVN_1997_Crookston_Rainfed,1,,PlumpGrain
MVN_1997_Crookston_Rainfed,1,,BarleyColor
MVN_1997_Crookston_Rainfed,1,,MaltExtract
MVN_1997_Crookston_Rainfed,1,,SolubleProteinTotalProtein
MVN_1997_Crookston_Rainfed,1,,DiastaticPower
MVN_1997_Crookston_Rainfed,1,,WortColor
MVN_1997_Crookston_Rainfed,1,,WortClarity
MVN_1997_Crookston_Rainfed,1,,GrainProtein
MVN_1997_Crookston_Rainfed,1,,WortProtein
MVN_1997_Crookston_Rainfed,1,,BetaGlucan
MVN_1997_Fargo_Rainfed,1,,KernelWeight
MVN_1997_Fargo_Rainfed,1,,PlumpGrain
MVN_1997_Fargo_Rainfed,1,,BarleyColor
MVN_1997_Fargo_Rainfed,1,,MaltExtract
MVN_1997_Fargo_Rainfed,1,,SolubleProteinTotalProtein
MVN_1997_Fargo_Rainfed,1,,DiastaticPower
MVN_1997_Fargo_Rainfed,1,,WortColor
MVN_1997_Fargo_Rainfed,1,,WortClarity
MVN_1997_Fargo_Rainfed,1,,GrainProtein
MVN_1997_Fargo_Rainfed,1,,WortProtein
MVN_1997_Fargo_Rainfed,1,,BetaGlucan
MVN_1998_Carrington_Rainfed,1,,KernelWeight
MVN_1998_Carrington_Rainfed,1,,PlumpGrain
MVN_1998_Carrington_Rainfed,1,,BarleyColor
MVN_1998_Carrington_Rainfed,1,,MaltExtract
MVN_1998_Carrington_Rainfed,1,,SolubleProteinTotalProtein
MVN_1998_Carrington_Rainfed,1,,DiastaticPower
MVN_1998_Carrington_Rainfed,1,,WortColor
MVN_1998_Carrington_Rainfed,1,,WortClarity
MVN_1998_Carrington_Rainfed,1,,GrainProtein
MVN_1998_Carrington_Rainfed,1,,WortProtein
MVN_1998_Carrington_Rainfed,1,,BetaGlucan
MVN_1998_Moorhead_Rainfed,1,,KernelWeight
MVN_1998_Moorhead_Rainfed,1,,PlumpGrain
MVN_1998_Moorhead_Rainfed,1,,BarleyColor
MVN_1998_Moorhead_Rainfed,1,,MaltExtract
MVN_1998_Moorhead_Rainfed,1,,SolubleProteinTotalProtein
MVN_1998_Moorhead_Rainfed,1,,DiastaticPower
MVN_1998_Moorhead_Rainfed,1,,WortColor
MVN_1998_Moorhead_Rainfed,1,,WortClarity
MVN_1998_Moorhead_Rainfed,1,,GrainProtein
MVN_1998_Moorhead_Rainfed,1,,WortProtein
MVN_1998_Moorhead_Rainfed,1,,BetaGlucan
MVN_1998_Morris_Rainfed,1,,KernelWeight
MVN_1998_Morris_Rainfed,1,,PlumpGrain
MVN_1998_Morris_Rainfed,1,,BarleyColor
MVN_1998_Morris_Rainfed,1,,MaltExtract
MVN_1998_Morris_Rainfed,1,,SolubleProteinTotalProtein
MVN_1998_Morris_Rainfed,1,,DiastaticPower
MVN_1998_Morris_Rainfed,1,,WortColor
MVN_1998_Morris_Rainfed,1,,WortClarity
MVN_1998_Morris_Rainfed,1,,GrainProtein
MVN_1998_Morris_Rainfed,1,,WortProtein
MVN_1998_Morris_Rainfed,1,,BetaGlucan
MVN_1999_Aberdeen_Rainfed,1,,KernelWeight
MVN_1999_Aberdeen_Rainfed,1,,PlumpGrain
MVN_1999_Aberdeen_Rainfed,1,,BarleyColor
MVN_1999_Aberdeen_Rainfed,1,,MaltExtract
MVN_1999_Aberdeen_Rainfed,1,,SolubleProteinTotalProtein
MVN_1999_Aberdeen_Rainfed,1,,DiastaticPower
MVN_1999_Aberdeen_Rainfed,1,,WortColor
MVN_1999_Aberdeen_Rainfed,1,,WortClarity
MVN_1999_Aberdeen_Rainfed,1,,GrainProtein
MVN_1999_Aberdeen_Rainfed,1,,WortProtein
MVN_1999_Aberdeen_Rainfed,1,,BetaGlucan
MVN_1999_Brandon_Rainfed,3,312.1,GrainYield
MVN_1999_Brandon_Rainfed,3,,HeadingDate
MVN_1999_Brandon_Rainfed,3,,MaturityDate
MVN_1999_Brandon_Rainfed,3,,PlantHeight
MVN_1999_Brandon_Rainfed,3,,TestWeight
MVN_1999_Carrington_Rainfed,4,613.3,GrainYield
MVN_1999_Carrington_Rainfed,4,,HeadingDate
MVN_1999_Carrington_Rainfed,4,,PlantHeight
MVN_1999_Carrington_Rainfed,4,,TestWeight
MVN_1999_Crookston_Rainfed,3,844.7,GrainYield
MVN_1999_Crookston_Rainfed,3,,HeadingDate
MVN_1999_Crookston_Rainfed,3,,Lodging
MVN_1999_Crookston_Rainfed,3,,PlantHeight
MVN_1999_Crookston_Rainfed,1,,KernelWeight
MVN_1999_Crookston_Rainfed,1,,PlumpGrain
MVN_1999_Crookston_Rainfed,1,,BarleyColor
MVN_1999_Crookston_Rainfed,1,,MaltExtract
MVN_1999_Crookston_Rainfed,1,,SolubleProteinTotalProtein
MVN_1999_Crookston_Rainfed,1,,DiastaticPower
MVN_1999_Crookston_Rainfed,1,,WortColor
MVN_1999_Crookston_Rainfed,1,,WortClarity
MVN_1999_Crookston_Rainfed,1,,GrainProtein
MVN_1999_Crookston_Rainfed,1,,WortProtein
MVN_1999_Crookston_Rainfed,1,,BetaGlucan
MVN_1999_Madison_Rainfed,3,502.5,GrainYield
MVN_1999_Madison_Rainfed,3,,HeadingDate
MVN_1999_Madison_Rainfed,3,,PlantHeight
MVN_1999_Madison_Rainfed,3,,TestWeight
MVN_1999_Morris_Rainfed,3,726.3,GrainYield
MVN_1999_Morris_Rainfed,3,,HeadingDate
MVN_1999_Morris_Rainfed,3,,Lodging
MVN_1999_Morris_Rainfed,3,,PlantHeight
MVN_1999_Morris_Rainfed,1,,KernelWeight
MVN_1999_Morris_Rainfed,1,,PlumpGrain
MVN_1999_Morris_Rainfed,1,,BarleyColor
MVN_1999_Morris_Rainfed,1,,MaltExtract
MVN_1999_Morris_Rainfed,1,,SolubleProteinTotalProtein
MVN_1999_Morris_Rainfed,1,,DiastaticPower
MVN_1999_Morris_Rainfed,1,,WortColor
MVN_1999_Morris_Rainfed,1,,WortClarity
MVN_1999_Morris_Rainfed,1,,GrainProtein
MVN_1999_Morris_Rainfed,1,,WortProtein
MVN_1999_Morris_Rainfed,1,,BetaGlucan
MVN_1999_Osnabrock_Rainfed,4,451.9,GrainYield
MVN_1999_Osnabrock_Rainfed,4,,HeadingDate
MVN_1999_Osnabrock_Rainfed,4,,Lodging
MVN_1999_Osnabrock_Rainfed,4,,PlantHeight
MVN_1999_Osnabrock_Rainfed,4,,TestWeight
MVN_1999_ParkRiver_Rainfed,3,245.3,GrainYield
MVN_1999_ParkRiver_Rainfed,3,,Lodging
MVN_1999_ParkRiver_Rainfed,3,,PlantHeight
MVN_1999_ParkRiver_Rainfed,3,,TestWeight
MVN_1999_ParkRiver_Rainfed,1,,KernelWeight
MVN_1999_ParkRiver_Rainfed,1,,PlumpGrain
MVN_1999_ParkRiver_Rainfed,1,,BarleyColor
MVN_1999_ParkRiver_Rainfed,1,,MaltExtract
MVN_1999_ParkRiver_Rainfed,1,,SolubleProteinTotalProtein
MVN_1999_ParkRiver_Rainfed,1,,DiastaticPower
MVN_1999_ParkRiver_Rainfed,1,,WortColor
MVN_1999_ParkRiver_Rainfed,1,,WortClarity
MVN_1999_ParkRiver_Rainfed,1,,GrainProtein
MVN_1999_ParkRiver_Rainfed,1,,WortProtein
MVN_1999_ParkRiver_Rainfed,1,,BetaGlucan
MVN_2000_Bottineau_Rainfed,3,385.2,GrainYield
MVN_2000_Bottineau_Rainfed,3,,PlantHeight
MVN_2000_Bottineau_Rainfed,3,,TestWeight
MVN_2000_Bottineau_Rainfed,1,,KernelWeight
MVN_2000_Bottineau_Rainfed,1,,PlumpGrain
MVN_2000_Bottineau_Rainfed,1,,BarleyColor
MVN_2000_Bottineau_Rainfed,1,,MaltExtract
MVN_2000_Bottineau_Rainfed,1,,SolubleProteinTotalProtein
MVN_2000_Bottineau_Rainfed,1,,DiastaticPower
MVN_2000_Bottineau_Rainfed,1,,WortColor
MVN_2000_Bottineau_Rainfed,1,,WortClarity
MVN_2000_Bottineau_Rainfed,1,,GrainProtein
MVN_2000_Bottineau_Rainfed,1,,WortProtein
MVN_2000_Bottineau_Rainfed,1,,BetaGlucan
MVN_2000_Brandon_Rainfed,3,,GrainYield
MVN_2000_Brandon_Rainfed,3,,HeadingDate
MVN_2000_Brandon_Rainfed,3,,Lodging
MVN_2000_Brandon_Rainfed,3,,MaturityDate
MVN_2000_Brandon_Rainfed,3,,PlantHeight
MVN_2000_Carrington_Rainfed,3,344.3,GrainYield
MVN_2000_Carrington_Rainfed,3,,HeadingDate
MVN_2000_Carrington_Rainfed,3,,Lodging
MVN_2000_Carrington_Rainfed,3,,PlantHeight
MVN_2000_Crookston_Rainfed,3,591.8,GrainYield
MVN_2000_Crookston_Rainfed,3,,HeadingDate
MVN_2000_Crookston_Rainfed,3,,PlantHeight
MVN_2000_Fargo_Rainfed,3,231.3,GrainYield
MVN_2000_Fargo_Rainfed,3,,HeadingDate
MVN_2000_Fargo_Rainfed,3,,PlantHeight
MVN_2000_Fargo_Rainfed,1,,KernelWeight
MVN_2000_Fargo_Rainfed,1,,PlumpGrain
MVN_2000_Fargo_Rainfed,1,,BarleyColor
MVN_2000_Fargo_Rainfed,1,,MaltExtract
MVN_2000_Fargo_Rainfed,1,,SolubleProteinTotalProtein
MVN_2000_Fargo_Rainfed,1,,DiastaticPower
MVN_2000_Fargo_Rainfed,1,,WortColor
MVN_2000_Fargo_Rainfed,1,,WortClarity
MVN_2000_Fargo_Rainfed,1,,GrainProtein
MVN_2000_Fargo_Rainfed,1,,WortProtein
MVN_2000_Fargo_Rainfed,1,,BetaGlucan
MVN_2000_Madison_Rainfed,3,529.4,GrainYield
MVN_2000_Madison_Rainfed,3,,HeadingDate
MVN_2000_Madison_Rainfed,3,,PlantHeight
MVN_2000_Madison_Rainfed,3,,TestWeight
MVN_2000_Minot_Rainfed,3,,GrainYield
MVN_2000_Minot_Rainfed,3,,PlantHeight
MVN_2000_Minot_Rainfed,3,,TestWeight
MVN_2000_Morris_Rainfed,3,591.8,GrainYield
MVN_2000_Morris_Rainfed,1,,KernelWeight
MVN_2000_Morris_Rainfed,1,,PlumpGrain
MVN_2000_Morris_Rainfed,1,,BarleyColor
MVN_2000_Morris_Rainfed,1,,MaltExtract
MVN_2000_Morris_Rainfed,1,,SolubleProteinTotalProtein
MVN_2000_Morris_Rainfed,1,,DiastaticPower
MVN_2000_Morris_Rainfed,1,,WortColor
MVN_2000_Morris_Rainfed,1,,WortClarity
MVN_2000_Morris_Rainfed,1,,GrainProtein
MVN_2000_Morris_Rainfed,1,,WortProtein
MVN_2000_Morris_Rainfed,1,,BetaGlucan
MVN_2000_Osnabrock_Rainfed,4,392.7,GrainYield
MVN_2000_Osnabrock_Rainfed,4,,HeadingDate
MVN_2000_Osnabrock_Rainfed,4,,PlantHeight
MVN_2001_Bottineau_Rainfed,3,265.8,GrainYield
MVN_2001_Bottineau_Rainfed,3,,HeadingDate
MVN_2001_Bottineau_Rainfed,1,,KernelWeight
MVN_2001_Bottineau_Rainfed,1,,PlumpGrain
MVN_2001_Bottineau_Rainfed,1,,BarleyColor
MVN_2001_Bottineau_Rainfed,1,,MaltExtract
MVN_2001_Bottineau_Rainfed,1,,SolubleProteinTotalProtein
MVN_2001_Bottineau_Rainfed,1,,DiastaticPower
MVN_2001_Bottineau_Rainfed,1,,WortColor
MVN_2001_Bottineau_Rainfed,1,,WortClarity
MVN_2001_Bottineau_Rainfed,1,,GrainProtein
MVN_2001_Bottineau_Rainfed,1,,WortProtein
MVN_2001_Bottineau_Rainfed,1,,BetaGlucan
MVN_2001_Brandon_Rainfed,3,,GrainYield
MVN_2001_Brandon_Rainfed,3,,HeadingDate
MVN_2001_Brandon_Rainfed,3,,Lodging
MVN_2001_Brandon_Rainfed,3,,PlantHeight
MVN_2001_Brandon_Rainfed,3,,TestWeight
MVN_2001_Carrington_Rainfed,3,527.2,GrainYield
MVN_2001_Carrington_Rainfed,3,,HeadingDate
MVN_2001_Carrington_Rainfed,3,,PlantHeight
MVN_2001_Crookston_Rainfed,3,1016.8,GrainYield
MVN_2001_Crookston_Rainfed,3,,HeadingDate
MVN_2001_Crookston_Rainfed,3,,Lodging
MVN_2001_Crookston_Rainfed,3,,PlantHeight
MVN_2001_Crookston_Rainfed,1,,KernelWeight
MVN_2001_Crookston_Rainfed,1,,PlumpGrain
MVN_2001_Crookston_Rainfed,1,,BarleyColor
MVN_2001_Crookston_Rainfed,1,,MaltExtract
MVN_2001_Crookston_Rainfed,1,,SolubleProteinTotalProtein
MVN_2001_Crookston_Rainfed,1,,DiastaticPower
MVN_2001_Crookston_Rainfed,1,,WortColor
MVN_2001_Crookston_Rainfed,1,,WortClarity
MVN_2001_Crookston_Rainfed,1,,GrainProtein
MVN_2001_Crookston_Rainfed,1,,WortProtein
MVN_2001_Crookston_Rainfed,1,,BetaGlucan
MVN_2001_Fargo_Rainfed,3,607.9,GrainYield
MVN_2001_Fargo_Rainfed,3,,HeadingDate
MVN_2001_Fargo_Rainfed,3,,PlantHeight
MVN_2001_Madison_Rainfed,3,536.9,GrainYield
MVN_2001_Madison_Rainfed,3,,HeadingDate
MVN_2001_Madison_Rainfed,3,,PlantHeight
MVN_2001_Madison_Rainfed,3,,TestWeight
MVN_2001_Morris_Rainfed,3,570.3,GrainYield
MVN_2001_Morris_Rainfed,3,,PlantHeight
MVN_2001_Morris_Rainfed,1,,KernelWeight
MVN_2001_Morris_Rainfed,1,,PlumpGrain
MVN_2001_Morris_Rainfed,1,,BarleyColor
MVN_2001_Morris_Rainfed,1,,MaltExtract
MVN_2001_Morris_Rainfed,1,,SolubleProteinTotalProtein
MVN_2001_Morris_Rainfed,1,,DiastaticPower
MVN_2001_Morris_Rainfed,1,,WortColor
MVN_2001_Morris_Rainfed,1,,WortClarity
MVN_2001_Morris_Rainfed,1,,GrainProtein
MVN_2001_Morris_Rainfed,1,,WortProtein
MVN_2001_Morris_Rainfed,1,,BetaGlucan
MVN_2001_Saskatoon_Rainfed,3,,GrainYield
MVN_2001_Saskatoon_Rainfed,3,,HeadingDate
MVN_2001_Saskatoon_Rainfed,3,,PlantHeight
MVN_2001_Williston_Rainfed,3,206.1,GrainYield
MVN_2002_Bottineau_Rainfed,3,289.4,GrainYield
MVN_2002_Bottineau_Rainfed,1,,KernelWeight
MVN_2002_Bottineau_Rainfed,1,,PlumpGrain
MVN_2002_Bottineau_Rainfed,1,,BarleyColor
MVN_2002_Bottineau_Rainfed,1,,MaltExtract
MVN_2002_Bottineau_Rainfed,1,,SolubleProteinTotalProtein
MVN_2002_Bottineau_Rainfed,1,,DiastaticPower
MVN_2002_Bottineau_Rainfed,1,,WortColor
MVN_2002_Bottineau_Rainfed,1,,WortClarity
MVN_2002_Bottineau_Rainfed,1,,GrainProtein
MVN_2002_Bottineau_Rainfed,1,,WortProtein
MVN_2002_Bottineau_Rainfed,1,,BetaGlucan
MVN_2002_Bottineau_Rainfed,1,,FreeAminoNitrogen
MVN_2002_Caro_Rainfed,2,720.9,GrainYield
MVN_2002_Caro_Rainfed,2,,HeadingDate
MVN_2002_Caro_Rainfed,2,,TestWeight
MVN_2002_Carrington_Rainfed,3,387.4,GrainYield
MVN_2002_Carrington_Rainfed,3,,HeadingDate
MVN_2002_Carrington_Rainfed,3,,Lodging
MVN_2002_Carrington_Rainfed,3,,PlantHeight
MVN_2002_Fargo_Rainfed,3,199.1,GrainYield
MVN_2002_Fargo_Rainfed,3,,HeadingDate
MVN_2002_Fargo_Rainfed,3,,PlantHeight
MVN_2002_Hamiota_Rainfed,3,355.1,GrainYield
MVN_2002_Hamiota_Rainfed,3,,HeadingDate
MVN_2002_Hamiota_Rainfed,3,,MaturityDate
MVN_2002_Hamiota_Rainfed,3,,PlantHeight
MVN_2002_Hamiota_Rainfed,3,,TestWeight
MVN_2002_Saskatoon_Rainfed,3,,GrainYield
MVN_2002_Saskatoon_Rainfed,3,,HeadingDate
MVN_2002_Saskatoon_Rainfed,3,,TestWeight
MVN_2002_Madison_Rainfed,3,476.7,GrainYield
MVN_2002_Madison_Rainfed,3,,HeadingDate
MVN_2002_Madison_Rainfed,3,,PlantHeight
MVN_2002_Madison_Rainfed,3,,TestWeight
MVN_2002_Morris_Rainfed,3,1129.8,GrainYield
MVN_2002_Morris_Rainfed,3,,HeadingDate
MVN_2002_Morris_Rainfed,3,,Lodging
MVN_2002_Morris_Rainfed,3,,PlantHeight
MVN_2002_Morris_Rainfed,1,,KernelWeight
MVN_2002_Morris_Rainfed,1,,PlumpGrain
MVN_2002_Morris_Rainfed,1,,BarleyColor
MVN_2002_Morris_Rainfed,1,,MaltExtract
MVN_2002_Morris_Rainfed,1,,SolubleProteinTotalProtein
MVN_2002_Morris_Rainfed,1,,DiastaticPower
MVN_2002_Morris_Rainfed,1,,WortColor
MVN_2002_Morris_Rainfed,1,,WortClarity
MVN_2002_Morris_Rainfed,1,,GrainProtein
MVN_2002_Morris_Rainfed,1,,WortProtein
MVN_2002_Morris_Rainfed,1,,BetaGlucan
MVN_2002_Morris_Rainfed,1,,FreeAminoNitrogen
MVN_2002_Osnabrock_Rainfed,3,516.5,GrainYield
MVN_2002_Osnabrock_Rainfed,3,,HeadingDate
MVN_2002_Osnabrock_Rainfed,3,,PlantHeight
MVN_2002_Sidney_Rainfed,3,364.2,GrainYield
MVN_2002_Sidney_Rainfed,3,,Lodging
MVN_2002_Sidney_Rainfed,1,,KernelWeight
MVN_2002_Sidney_Rainfed,1,,PlumpGrain
MVN_2002_Sidney_Rainfed,1,,BarleyColor
MVN_2002_Sidney_Rainfed,1,,MaltExtract
MVN_2002_Sidney_Rainfed,1,,SolubleProteinTotalProtein
MVN_2002_Sidney_Rainfed,1,,DiastaticPower
MVN_2002_Sidney_Rainfed,1,,WortColor
MVN_2002_Sidney_Rainfed,1,,WortClarity
MVN_2002_Sidney_Rainfed,1,,GrainProtein
MVN_2002_Sidney_Rainfed,1,,WortProtein
MVN_2002_Sidney_Rainfed,1,,BetaGlucan
MVN_2002_Sidney_Rainfed,1,,FreeAminoNitrogen
MVN_2003_Aberdeen_Rainfed,1,,KernelWeight
MVN_2003_Aberdeen_Rainfed,1,,PlumpGrain
MVN_2003_Aberdeen_Rainfed,1,,BarleyColor
MVN_2003_Aberdeen_Rainfed,1,,MaltExtract
MVN_2003_Aberdeen_Rainfed,1,,SolubleProteinTotalProtein
MVN_2003_Aberdeen_Rainfed,1,,DiastaticPower
MVN_2003_Aberdeen_Rainfed,1,,WortColor
MVN_2003_Aberdeen_Rainfed,1,,WortClarity
MVN_2003_Aberdeen_Rainfed,1,,GrainProtein
MVN_2003_Aberdeen_Rainfed,1,,WortProtein
MVN_2003_Aberdeen_Rainfed,1,,BetaGlucan
MVN_2003_Aberdeen_Rainfed,1,,FreeAminoNitrogen
MVN_2003_Bottineau_Rainfed,3,632.2,GrainYield
MVN_2003_Bottineau_Rainfed,3,,HeadingDate
MVN_2003_Bottineau_Rainfed,3,,Lodging
MVN_2003_Bottineau_Rainfed,3,,PlantHeight
MVN_2003_Bottineau_Rainfed,1,,KernelWeight
MVN_2003_Bottineau_Rainfed,1,,PlumpGrain
MVN_2003_Bottineau_Rainfed,1,,BarleyColor
MVN_2003_Bottineau_Rainfed,1,,MaltExtract
MVN_2003_Bottineau_Rainfed,1,,SolubleProteinTotalProtein
MVN_2003_Bottineau_Rainfed,1,,DiastaticPower
MVN_2003_Bottineau_Rainfed,1,,WortColor
MVN_2003_Bottineau_Rainfed,1,,WortClarity
MVN_2003_Bottineau_Rainfed,1,,GrainProtein
MVN_2003_Bottineau_Rainfed,1,,WortProtein
MVN_2003_Bottineau_Rainfed,1,,BetaGlucan
MVN_2003_Bottineau_Rainfed,1,,FreeAminoNitrogen
MVN_2003_Caro_Rainfed,3,,GrainYield
MVN_2003_Caro_Rainfed,3,,HeadingDate
MVN_2003_Caro_Rainfed,3,,PlantHeight
MVN_2003_Caro_Rainfed,3,,TestWeight
MVN_2003_Carrington_Rainfed,4,624.1,GrainYield
MVN_2003_Carrington_Rainfed,4,,HeadingDate
MVN_2003_Carrington_Rainfed,4,,Lodging
MVN_2003_Carrington_Rainfed,4,,PlantHeight
MVN_2003_Crookston_Rainfed,3,726.3,GrainYield
MVN_2003_Crookston_Rainfed,3,,HeadingDate
MVN_2003_Crookston_Rainfed,3,,Lodging
MVN_2003_Crookston_Rainfed,3,,PlantHeight
MVN_2003_Crookston_Rainfed,1,,KernelWeight
MVN_2003_Crookston_Rainfed,1,,PlumpGrain
MVN_2003_Crookston_Rainfed,1,,BarleyColor
MVN_2003_Crookston_Rainfed,1,,MaltExtract
MVN_2003_Crookston_Rainfed,1,,SolubleProteinTotalProtein
