trial,location,state,year,environment,nursery,management,report,planting_date,harvest_date,meters_harvested,cm_bet_rows,lat,long
MVN_2000_Osnabrock_Rainfed,Osnabrock,ND,2000,OSN00R,mvn,rainfed,MVN_2000,2000-04-26,2000-08-08,3,30.5,48.6688857,-98.151218600000007
MVN_2001_Bottineau_Rainfed,Bottineau,ND,2001,BTT01R,mvn,rainfed,MVN_2001,2001-05-02,2001-08-09,3.3499999999999996,20,48.82723,-100.445698
MVN_2001_Brandon_Rainfed,Brandon,MB,2001,BRN01R,mvn,rainfed,MVN_2001,2001-05-24,2001-08-26,5,23.5,49.8511143,-99.9608924
MVN_2001_Carrington_Rainfed,Carrington,ND,2001,CRR01R,mvn,rainfed,MVN_2001,2001-04-27,2001-08-02,3,30.5,47.44972,-99.126224
MVN_2001_Crookston_Rainfed,Crookston,MN,2001,CRK01R,mvn,rainfed,MVN_2001,,,2.4,19,47.7739988,-96.6081167
MVN_2001_Fargo_Rainfed,Fargo,ND,2001,FRG01R,mvn,rainfed,MVN_2001,2001-05-02,2001-08-10,3,30.5,46.877229,-96.789821
MVN_2001_Madison_Rainfed,Madison,WI,2001,MDS01R,mvn,rainfed,MVN_2001,2001-04-25,2001-07-24,4.9,30.5,43.074761,-89.3837613
MVN_2001_Morris_Rainfed,Morris,MN,2001,MRR01R,mvn,rainfed,MVN_2001,,,1.4,18,45.586072,-95.913941
MVN_2001_Saskatoon_Rainfed,Saskatoon,SK,2001,SSK01R,mvn,rainfed,,,,,,52.131802,-106.660767
MVN_2001_Williston_Rainfed,Williston,ND,2001,WLL01R,mvn,rainfed,MVN_2001,2001-04-27,2001-08-16,3.3499999999999996,20,48.1465457,-103.621814
MVN_2002_Bottineau_Rainfed,Bottineau,ND,2002,BTT02R,mvn,rainfed,MVN_2002,2002-05-11,2002-08-18,3.3499999999999996,20,48.82723,-100.445698
MVN_2002_Caro_Rainfed,Caro,MI,2002,CAR02R,mvn,rainfed,MVN_2002,2002-04-11,2002-07-15,,,43.491132,-83.396897
MVN_2002_Carrington_Rainfed,Carrington,ND,2002,CRR02R,mvn,rainfed,MVN_2002,2002-04-30,2002-08-07,3,30.5,47.44972,-99.126224
MVN_2002_Fargo_Rainfed,Fargo,ND,2002,FRG02R,mvn,rainfed,MVN_2002,2002-05-02,2002-08-09,3,30.5,46.877229,-96.789821
MVN_2002_Hamiota_Rainfed,Hamiota,MB,2002,HMT02R,mvn,rainfed,MVN_2002,2002-05-21,2002-09-06,5.2,23.5,50.183333,-100.6
MVN_2002_Saskatoon_Rainfed,Saskatoon,SK,2002,SSK02R,mvn,rainfed,,,,,,52.131802,-106.660767
MVN_2002_Madison_Rainfed,Madison,WI,2002,MDS02R,mvn,rainfed,MVN_2002,2002-04-18,2002-07-20,4.9,30.5,43.074761,-89.3837613
MVN_2002_Morris_Rainfed,Morris,MN,2002,MRR02R,mvn,rainfed,MVN_2002,,,1.4,18,45.586072,-95.913941
MVN_2002_Osnabrock_Rainfed,Osnabrock,ND,2002,OSN02R,mvn,rainfed,MVN_2002,2002-04-23,2002-08-20,3,30.5,48.6688857,-98.151218600000007
MVN_2002_Sidney_Rainfed,Sidney,MT,2002,SDN02R,mvn,rainfed,MVN_2002,2002-04-25,2002-08-11,3.3499999999999996,20,47.716735,-104.155973
MVN_2003_Aberdeen_Rainfed,Aberdeen,ID,2003,ABR03R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2003_Bottineau_Rainfed,Bottineau,ND,2003,BTT03R,mvn,rainfed,MVN_2003,2003-04-30,2003-08-07,3.3499999999999996,20,48.82723,-100.445698
MVN_2003_Caro_Rainfed,Caro,MI,2003,CAR03R,mvn,rainfed,,,,,,43.491132,-83.396897
MVN_2003_Carrington_Rainfed,Carrington,ND,2003,CRR03R,mvn,rainfed,MVN_2003,2003-04-25,2003-08-11,3,30,47.44972,-99.126224
MVN_2003_Crookston_Rainfed,Crookston,MN,2003,CRK03R,mvn,rainfed,MVN_2003,2003-05-01,2003-08-06,2.4,18,47.7739988,-96.6081167
MVN_2003_Fargo_Rainfed,Fargo,ND,2003,FRG03R,mvn,rainfed,MVN_2003,2003-04-22,2003-08-06,3,30.5,46.877229,-96.789821
MVN_2003_Hamiota_Rainfed,Hamiota,MB,2003,HMT03R,mvn,rainfed,MVN_2003,2003-05-22,2003-08-22,5.2,23.5,50.183333,-100.6
MVN_2003_Saskatoon_Rainfed,Saskatoon,SK,2003,SSK03R,mvn,rainfed,,,,,,52.131802,-106.660767
MVN_2003_Madison_Rainfed,Madison,WI,2003,MDS03R,mvn,rainfed,MVN_2003,2003-04-23,2003-07-23,4.9,30.5,43.074761,-89.3837613
MVN_2003_Morris_Rainfed,Morris,MN,2003,MRR03R,mvn,rainfed,MVN_2003,2003-05-01,2003-07-30,2.4,18,45.586072,-95.913941
MVN_2003_Osnabrock_Rainfed,Osnabrock,ND,2003,OSN03R,mvn,rainfed,MVN_2003,2003-05-04,2003-08-14,3,30.5,48.6688857,-98.151218600000007
MVN_2003_Sidney_Rainfed,Sidney,MT,2003,SDN03R,mvn,rainfed,MVN_2003,2003-04-24,2003-08-02,3.3499999999999996,20,47.716735,-104.155973
MVN_2004_Bottineau_Rainfed,Bottineau,ND,2004,BTT04R,mvn,rainfed,MVN_2004,2004-04-23,2004-08-18,3.3499999999999996,20,48.82723,-100.445698
MVN_2004_Carrington_Rainfed,Carrington,ND,2004,CRR04R,mvn,rainfed,MVN_2004,2004-04-27,2004-08-19,3,30,47.44972,-99.126224
MVN_2004_Crookston_Rainfed,Crookston,MN,2004,CRK04R,mvn,rainfed,MVN_2004,2004-04-27,2004-08-17,2.4,18,47.7739988,-96.6081167
MVN_2004_Fargo_Rainfed,Fargo,ND,2004,FRG04R,mvn,rainfed,MVN_2004,2004-04-16,2004-08-12,3,30.5,46.877229,-96.789821
MVN_2004_Hamiota_Rainfed,Hamiota,MB,2004,HMT04R,mvn,rainfed,MVN_2004,2004-05-18,2004-09-07,5.2,23.5,50.183333,-100.6
MVN_2004_Saskatoon_Rainfed,Saskatoon,SK,2004,SSK04R,mvn,rainfed,,,,,,52.131802,-106.660767
MVN_2004_Madison_Rainfed,Madison,WI,2004,MDS04R,mvn,rainfed,MVN_2004,2004-04-13,2004-07-28,4.9,30.5,43.074761,-89.3837613
MVN_2004_Morris_Rainfed,Morris,MN,2004,MRR04R,mvn,rainfed,MVN_2004,2004-04-08,2004-08-05,2.4,18,45.586072,-95.913941
MVN_2004_Osnabrock_Rainfed,Osnabrock,ND,2004,OSN04R,mvn,rainfed,MVN_2004,2004-05-04,2004-09-08,3,30.5,48.6688857,-98.151218600000007
MVN_2004_Sidney_Rainfed,Sidney,MT,2004,SDN04R,mvn,rainfed,MVN_2004,2004-04-14,2004-08-06,3.3499999999999996,20,47.716735,-104.155973
MVN_2005_Ames_Rainfed,Ames,IA,2005,AMS05R,mvn,rainfed,,,,,,42.0267703,-93.6170554
MVN_2005_Bottineau_Rainfed,Bottineau,ND,2005,BTT05R,mvn,rainfed,MVN_2005,2005-05-02,2005-08-10,3.3499999999999996,20,48.82723,-100.445698
MVN_2005_Carrington_Rainfed,Carrington,ND,2005,CRR05R,mvn,rainfed,MVN_2005,2005-04-26,2005-08-12,3,30,47.44972,-99.126224
MVN_2005_Crookston_Rainfed,Crookston,MN,2005,CRK05R,mvn,rainfed,,,,,,47.7739988,-96.6081167
MVN_2005_Hamiota_Rainfed,Hamiota,MB,2005,HMT05R,mvn,rainfed,MVN_2005,2005-05-11,2005-08-11,5.2,23.5,50.183333,-100.6
MVN_2005_Saskatoon_Rainfed,Saskatoon,SK,2005,SSK05R,mvn,rainfed,,,,,,52.131802,-106.660767
MVN_2005_Madison_Rainfed,Madison,WI,2005,MDS05R,mvn,rainfed,MVN_2005,2005-04-16,2005-07-27,4.9,30.5,43.074761,-89.3837613
MVN_2005_Morris_Rainfed,Morris,MN,2005,MRR05R,mvn,rainfed,MVN_2005,2005-04-19,2005-07-27,2.4,18,45.586072,-95.913941
MVN_2005_Sidney_Rainfed,Sidney,MT,2005,SDN05R,mvn,rainfed,MVN_2005,2005-04-21,2005-08-05,3.3499999999999996,20,47.716735,-104.155973
MVN_2006_Ames_Rainfed,Ames,IA,2006,AMS06R,mvn,rainfed,MVN_2006,2006-04-10,2006-07-17,,,42.0267703,-93.6170554
MVN_2006_Carrington_Rainfed,Carrington,ND,2006,CRR06R,mvn,rainfed,MVN_2006,2006-04-19,2006-08-10,3,30,47.44972,-99.126224
MVN_2006_Crookston_Rainfed,Crookston,MN,2006,CRK06R,mvn,rainfed,MVN_2006,2006-05-09,2006-08-01,2.4,18,47.7739988,-96.6081167
MVN_2006_Fargo_Rainfed,Fargo,ND,2006,FRG06R,mvn,rainfed,MVN_2006,2006-04-27,2006-07-31,3,30,46.877229,-96.789821
MVN_2006_Hamiota_Rainfed,Hamiota,MB,2006,HMT06R,mvn,rainfed,MVN_2006,2006-05-10,2006-08-18,5.2,23.5,50.183333,-100.6
MVN_2006_Madison_Rainfed,Madison,WI,2006,MDS06R,mvn,rainfed,MVN_2006,2006-04-15,2006-07-25,4.9,30.5,43.074761,-89.3837613
MVN_2006_Morris_Rainfed,Morris,MN,2006,MRR06R,mvn,rainfed,MVN_2006,2006-04-14,2006-07-21,2.9,18,45.586072,-95.913941
MVN_2006_Osnabrock_Rainfed,Osnabrock,ND,2006,OSN06R,mvn,rainfed,MVN_2006,2006-05-11,2006-08-26,3,30,48.6688857,-98.151218600000007
MVN_2006_Sidney_Rainfed,Sidney,MT,2006,SDN06R,mvn,rainfed,MVN_2006,2006-04-12,2006-07-19,3.3499999999999996,21.6,47.716735,-104.155973
MVN_2007_Ames_Rainfed,Ames,IA,2007,AMS07R,mvn,rainfed,MVN_2007,2007-04-09,2007-07-19,,,42.0267703,-93.6170554
MVN_2007_Bottineau_Rainfed,Bottineau,ND,2007,BTT07R,mvn,rainfed,MVN_2007,2007-04-28,2007-08-04,3.3499999999999996,21.6,48.82723,-100.445698
MVN_2007_Brandon_Rainfed,Brandon,MB,2007,BRN07R,mvn,rainfed,MVN_2007,2007-05-10,2007-08-07,5.2,23.5,49.8511143,-99.9608924
MVN_2007_Carrington_Rainfed,Carrington,ND,2007,CRR07R,mvn,rainfed,MVN_2007,2007-04-26,2007-08-02,3,30,47.44972,-99.126224
MVN_2007_Crookston_Rainfed,Crookston,MN,2007,CRK07R,mvn,rainfed,MVN_2007,2007-05-01,2007-08-02,2.4,19,47.7739988,-96.6081167
MVN_2007_Saskatoon_Rainfed,Saskatoon,SK,2007,SSK07R,mvn,rainfed,,,,,,52.131802,-106.660767
MVN_2007_Morris_Rainfed,Morris,MN,2007,MRR07R,mvn,rainfed,MVN_2007,2007-05-01,2007-07-25,,18,45.586072,-95.913941
MVN_2007_Osnabrock_Rainfed,Osnabrock,ND,2007,OSN07R,mvn,rainfed,MVN_2007,2007-05-10,2007-08-22,3,30,48.6688857,-98.151218600000007
MVN_2007_Sidney_Rainfed,Sidney,MT,2007,SDN07R,mvn,rainfed,MVN_2007,2007-04-25,2007-07-28,3.3499999999999996,21.6,47.716735,-104.155973
MVN_2008_Ames_Rainfed,Ames,IA,2008,AMS08R,mvn,rainfed,,,,,,42.0267703,-93.6170554
MVN_2008_Bottineau_Rainfed,Bottineau,ND,2008,BTT08R,mvn,rainfed,MVN_2008,2008-04-17,2008-08-14,3.3499999999999996,21.6,48.82723,-100.445698
MVN_2008_Brandon_Rainfed,Brandon,MB,2008,BRN08R,mvn,rainfed,MVN_2008,2008-05-08,2008-08-27,5.2,23.5,49.8511143,-99.9608924
MVN_2008_Caro_Rainfed,Caro,MI,2008,CAR08R,mvn,rainfed,MVN_2008,2008-04-21,2008-07-25,5.5,30,43.491132,-83.396897
MVN_2008_Carrington_Rainfed,Carrington,ND,2008,CRR08R,mvn,rainfed,,,,,,47.44972,-99.126224
MVN_2008_Carrington_Rainfed,Carrington,ND,2008,CRR08R,mvn,rainfed,MVN_2008,2008-04-29,2008-08-13,3,19,47.44972,-99.126224
MVN_2008_Crookston_Rainfed,Crookston,MN,2008,CRK08R,mvn,rainfed,MVN_2008,2008-04-29,2008-08-14,2.4,19,47.7739988,-96.6081167
MVN_2008_Fargo_Rainfed,Fargo,ND,2008,FRG08R,mvn,rainfed,MVN_2008,2008-05-07,2008-08-18,3,19,46.877229,-96.789821
MVN_2008_Madison_Rainfed,Madison,WI,2008,MDS08R,mvn,rainfed,MVN_2008,2008-04-24,2008-07-28,4.87,30,43.074761,-89.3837613
MVN_2008_Sidney_Rainfed,Sidney,MT,2008,SDN08R,mvn,rainfed,MVN_2008,2008-04-13,2008-08-13,3.3499999999999996,21.6,47.716735,-104.155973
MVN_2009_Aberdeen_Rainfed,Aberdeen,ID,2009,ABR09R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2009_Bottineau_Rainfed,Bottineau,ND,2009,BTT09R,mvn,rainfed,,,,,,48.82723,-100.445698
MVN_2009_Carrington_Rainfed,Carrington,ND,2009,CRR09R,mvn,rainfed,,,,,,47.44972,-99.126224
MVN_2009_Crookston_Rainfed,Crookston,MN,2009,CRK09R,mvn,rainfed,,,,,,47.7739988,-96.6081167
MVN_2009_Fargo_Rainfed,Fargo,ND,2009,FRG09R,mvn,rainfed,,,,,,46.877229,-96.789821
MVN_2009_Saskatoon_Rainfed,Saskatoon,SK,2009,SSK09R,mvn,rainfed,,,,,,52.131802,-106.660767
MVN_2009_Madison_Rainfed,Madison,WI,2009,MDS09R,mvn,rainfed,,,,,,43.074761,-89.3837613
MVN_2009_Sidney_Rainfed,Sidney,MT,2009,SDN09R,mvn,rainfed,,,,,,47.716735,-104.155973
MVN_2010_Bottineau_Rainfed,Bottineau,ND,2010,BTT10R,mvn,rainfed,MVN_2010,2010-04-24,2010-08-16,3.3499999999999996,21.6,48.82723,-100.445698
MVN_2010_Carrington_Rainfed,Carrington,ND,2010,CRR10R,mvn,rainfed,MVN_2010,2010-04-22,2010-08-17,3.72,19,47.44972,-99.126224
MVN_2010_Crookston_Rainfed,Crookston,MN,2010,CRK10R,mvn,rainfed,MVN_2010,2010-04-19,2010-07-29,2.8,19,47.7739988,-96.6081167
MVN_2010_Fargo_Rainfed,Fargo,ND,2010,FRG10R,mvn,rainfed,MVN_2010,2010-04-23,2010-08-06,3.72,19,46.877229,-96.789821
MVN_2010_Madison_Rainfed,Madison,WI,2010,MDS10R,mvn,rainfed,MVN_2010,2010-04-15,2010-07-21,4.87,30.5,43.074761,-89.3837613
MVN_2010_Morris_Rainfed,Morris,MN,2010,MRR10R,mvn,rainfed,MVN_2010,2010-04-19,2010-07-26,3.72,18,45.586072,-95.913941
MVN_2010_Osnabrock_Rainfed,Osnabrock,ND,2010,OSN10R,mvn,rainfed,MVN_2010,2010-04-28,2010-08-23,3.72,19,48.6688857,-98.151218600000007
MVN_2010_Sidney_Rainfed,Sidney,MT,2010,SDN10R,mvn,rainfed,MVN_2010,2010-04-21,2010-08-06,3.3499999999999996,21.6,47.716735,-104.155973
MVN_2011_Crookston_Rainfed,Crookston,MN,2011,CRK11R,mvn,rainfed,MVN_2011,2011-05-09,2011-08-03,2.8,19,47.7739988,-96.6081167
MVN_2011_Morris_Rainfed,Morris,MN,2011,MRR11R,mvn,rainfed,MVN_2011,2011-04-25,2011-08-03,3.72,18,45.586072,-95.913941
MVN_2011_Sidney_Rainfed,Sidney,MT,2011,SDN11R,mvn,rainfed,MVN_2011,2011-04-27,2011-08-09,3.3499999999999996,21.6,47.716735,-104.155973
MVN_2012_Aberdeen_Rainfed,Aberdeen,ID,2012,ABR12R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2012_Bottineau_Rainfed,Bottineau,ND,2012,BTT12R,mvn,rainfed,MVN_2012,2012-04-25,2012-08-01,4.5,21.6,48.82723,-100.445698
MVN_2012_Carrington_Rainfed,Carrington,ND,2012,CRR12R,mvn,rainfed,MVN_2012,2012-05-02,2012-07-27,8.4,19,47.44972,-99.126224
MVN_2012_Crookston_Rainfed,Crookston,MN,2012,CRK12R,mvn,rainfed,MVN_2012,2012-04-23,2012-07-23,18.3,19,47.7739988,-96.6081167
MVN_2012_Fargo_Rainfed,Fargo,ND,2012,FRG12R,mvn,rainfed,MVN_2012,2012-04-25,2012-08-02,10.6,19,46.877229,-96.789821
MVN_2012_Morris_Rainfed,Morris,MN,2012,MRR12R,mvn,rainfed,MVN_2012,2012-04-05,2012-07-16,3.72,18,45.586072,-95.913941
MVN_2012_Osnabrock_Rainfed,Osnabrock,ND,2012,OSN12R,mvn,rainfed,MVN_2012,2012-05-09,2012-08-24,11.4,19,48.6688857,-98.151218600000007
MVN_2012_Saskatoon_Rainfed,Saskatoon,SK,2012,SSK12R,mvn,rainfed,MVN_2012,2012-06-01,,,,52.131802,-106.660767
MVN_2012_Sidney_Rainfed,Sidney,MT,2012,SDN12R,mvn,rainfed,MVN_2012,2012-04-18,2012-07-27,5.8,21.6,47.716735,-104.155973
MVN_2013_Aberdeen_Rainfed,Aberdeen,ID,2013,ABR13R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2013_Bottineau_Rainfed,Bottineau,ND,2013,BTT13R,mvn,rainfed,MVN_2013,,,,,48.82723,-100.445698
MVN_2013_Brandon_Rainfed,Brandon,MB,2013,BRN13R,mvn,rainfed,MVN_2013,2013-05-15,2013-08-21,4.6,22.9,49.8511143,-99.9608924
MVN_2013_Carrington_Rainfed,Carrington,ND,2013,CRR13R,mvn,rainfed,MVN_2013,2013-05-15,2013-09-06,3.72,19,47.44972,-99.126224
MVN_2013_Crookston_Rainfed,Crookston,MN,2013,CRK13R,mvn,rainfed,MVN_2013,2013-05-08,2013-08-08,4,19,47.7739988,-96.6081167
MVN_2013_Fargo_Rainfed,Fargo,ND,2013,FRG13R,mvn,rainfed,MVN_2013,2013-05-07,2013-08-26,3.72,19,46.877229,-96.789821
MVN_2013_Madison_Rainfed,Madison,WI,2013,MDS13R,mvn,rainfed,MVN_2013,2013-05-02,2013-07-30,4.9,30.5,43.074761,-89.3837613
MVN_2013_Morris_Rainfed,Morris,MN,2013,MRR13R,mvn,rainfed,MVN_2013,2013-05-02,2013-07-30,3.5,18,45.586072,-95.913941
MVN_2014_Aberdeen_Rainfed,Aberdeen,ID,2014,ABR14R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2014_Bottineau_Rainfed,Bottineau,ND,2014,BTT14R,mvn,rainfed,MVN_2014,,,,,48.82723,-100.445698
MVN_2014_Brandon_Rainfed,Brandon,MB,2014,BRN14R,mvn,rainfed,MVN_2014,2014-05-27,2014-08-27,4.6,18,49.8511143,-99.9608924
MVN_2014_Carrington_Rainfed,Carrington,ND,2014,CRR14R,mvn,rainfed,MVN_2014,2014-05-05,2014-08-26,3.72,19,47.44972,-99.126224
MVN_2014_Crookston_Rainfed,Crookston,MN,2014,CRK14R,mvn,rainfed,MVN_2014,2014-05-03,2014-07-31,3.1,19,47.7739988,-96.6081167
MVN_2014_Fargo_Rainfed,Fargo,ND,2014,FRG14R,mvn,rainfed,MVN_2014,2014-05-28,2014-09-11,3.72,19,46.877229,-96.789821
MVN_2014_Morris_Rainfed,Morris,MN,2014,MRR14R,mvn,rainfed,MVN_2014,2014-04-15,2014-08-04,3,18,45.586072,-95.913941
MVN_2014_Osnabrock_Rainfed,Osnabrock,ND,2014,OSN14R,mvn,rainfed,MVN_2014,2014-05-15,2014-08-27,3.72,19,48.6688857,-98.151218600000007
MVN_2014_Saskatoon_Rainfed,Saskatoon,SK,2014,SSK14R,mvn,rainfed,MVN_2014,2014-05-17,2014-08-26,,,52.131802,-106.660767
MVN_2015_Aberdeen_Rainfed,Aberdeen,ID,2015,ABR15R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2015_Fargo_Rainfed,Fargo,ND,2015,FRG15R,mvn,rainfed,,,,,,46.877229,-96.789821
MVN_2016_Aberdeen_Rainfed,Aberdeen,ID,2016,ABR16R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2016_Crookston_Rainfed,Crookston,MN,2016,CRK16R,mvn,rainfed,,,,,,47.7739988,-96.6081167
MVN_2017_Aberdeen_Rainfed,Aberdeen,ID,2017,ABR17R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2017_Osnabrock_Rainfed,Osnabrock,ND,2017,OSN17R,mvn,rainfed,,,,,,48.6688857,-98.151218600000007
MVN_2018_Aberdeen_Rainfed,Aberdeen,ID,2018,ABR18R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_2018_Brandon_Rainfed,Brandon,MB,2018,BRN18R,mvn,rainfed,MVN_2018,2018-05-14,2018-08-15,4.6,18,49.8511143,-99.9608924
MVN_2018_Carrington_Rainfed,Carrington,ND,2018,CRR18R,mvn,rainfed,MVN_2018,2018-05-03,2018-08-02,2.6,18,47.44972,-99.126224
MVN_2018_Crookston_Rainfed,Crookston,MN,2018,CRK18R,mvn,rainfed,MVN_2018,2018-05-03,2018-07-30,31,18,47.7739988,-96.6081167
MVN_2018_Fargo_Rainfed,Fargo,ND,2018,FRG18R,mvn,rainfed,MVN_2018,2018-05-04,,2.6,18,46.877229,-96.789821
MVN_2018_Osnabrock_Rainfed,Osnabrock,ND,2018,OSN18R,mvn,rainfed,MVN_2018,2018-05-07,,2.6,18,48.6688857,-98.151218600000007
MVN_2018_Saskatoon_Rainfed,Saskatoon,SK,2018,SSK18R,mvn,rainfed,MVN_2018,2018-05-21,2018-09-03,4.3,30,52.131802,-106.660767
MVN_2019_Aberdeen_Rainfed,Aberdeen,ID,2019,ABR19R,mvn,rainfed,MVN_2019,2019-04-17,2019-08-19,3,20,42.9440784,-112.8383265
MVN_2019_Brandon_Rainfed,Brandon,MB,2019,BRN19R,mvn,rainfed,MVN_2019,2019-05-13,2019-08-13,4.6,18,49.8511143,-99.9608924
MVN_2019_Carrington_Rainfed,Carrington,ND,2019,CRR19R,mvn,rainfed,MVN_2019,2019-05-07,2019-08-29,26.2,18,47.44972,-99.126224
MVN_2019_Carrington_Rainfed,Carrington,ND,2019,CRR19R,mvn,rainfed,MVN_2019,2019-05-05,2019-08-15,5.5,18,47.44972,-99.126224
MVN_2019_Crookston_Rainfed,Crookston,MN,2019,CRK19R,mvn,rainfed,MVN_2019,2019-05-10,2019-08-08,24.6,18,47.7739988,-96.6081167
MVN_2019_Fargo_Rainfed,Fargo,ND,2019,FRG19R,mvn,rainfed,MVN_2019,2019-05-16,2019-08-30,26.2,18,46.877229,-96.789821
MVN_2019_Osnabrock_Rainfed,Osnabrock,ND,2019,OSN19R,mvn,rainfed,MVN_2019,2019-05-20,2019-09-07,26.2,18,48.6688857,-98.151218600000007
MVN_2019_Saskatoon_Rainfed,Saskatoon,SK,2019,SSK19R,mvn,rainfed,MVN_2019,2019-05-14,2019-09-20,3.7,30,52.131802,-106.660767
WRN_1996_Aberdeen_Irrigated,Aberdeen,ID,1996,ABR96I,wrn,irrigated,,,,,,42.9440784,-112.8383265
WRN_1996_Bozeman_Irrigated,Bozeman,MT,1996,BZM96I,wrn,irrigated,,,,,,45.6794293,-111.0440474
